ADD,PUSH,POP,OR,ADC,SBB,AND,ES,DAA,SUB,CS,DAS,XOR,SS,AAA,CMP,DS,AAS,PUSHA,PUSHAD,class
0,10.55505,26.933575,0.363967,0,0.181984,0.090992,1.00091,58.143764,12.101911,28.935396,0.636943,0,20.382166,87.079163,9.918107,0.090992,8.917197,0,12.465878,b
0.032648,0.457068,11.65524,2.600936,0,2.187398,0.032648,4.189792,14.680595,17.227119,13.559691,2.655349,0.010883,20.666014,74.5783,8.738709,1.197083,4.211557,0.04353,7.585156,b
0.219619,10.980967,100,3.001464,0,4.904831,0.183016,5.783309,0.036603,8.601757,0.292826,14.604685,0.183016,5.746706,18.814056,0.10981,4.355783,7.137628,1.061493,4.026354,b
100,3.521127,33.151672,3.634369,0,9.448652,6.408805,7.293509,18.359404,8.018969,5.046359,3.556515,21.314318,12.056763,41.124638,3.793616,2.07021,2.926605,4.734942,6.157548,b
0,0,11.230907,1.437556,0,1.527403,0,2.336029,0.359389,11.230907,13.1177,5.929919,0,28.301886,100,8.176101,1.078167,4.851752,0,6.379155,b
24.004025,15.372233,100,18.822939,0,20.231388,10.130785,26.136822,2.756539,11.478873,1.358149,21.338028,10.080482,29.436621,36.056335,3.209256,13.32998,14.406438,17.605635,18.430584,b
7.347549,0.869211,100,1.996469,0,21.648785,0.149396,34.944996,0.638327,7.741409,6.532663,1.330979,0.067907,17.085426,36.398209,8.080945,0.502513,3.368192,0.244466,5.364661,b
0,0,12.246235,0.349269,0,0.654879,0,1.309758,25.736736,13.708797,16.131849,1.047806,0,14.647457,58.175068,6.003056,0.567562,12.09343,0.043659,7.531106,b
0.076181,0.101574,15.439309,4.44388,0,3.504317,0.126968,6.627729,11.731844,27.145758,13.001524,5.104114,0,32.706959,64.626709,11.757237,0.761808,6.399188,0.050787,10.843067,b
0,0.082736,11.527854,0.551572,0,0.358522,0,1.18588,29.70215,16.795366,16.93326,1.627137,0,15.057916,58.990623,6.618864,0.661886,5.350248,0.055157,9.04578,b
0.039833,0,6.27365,0.238996,24.058952,0.81657,0,0.87632,21.668989,13.802032,20.852419,1.194981,0,3.684525,2.708624,0,0.059749,4.939255,0.059749,8.02629,b
0,0,7.446808,2.12766,0,0.35461,0,1.77305,25.886524,13.829787,16.312057,0.70922,0,30.496454,91.13475,12.765958,2.12766,5.673759,0,18.439716,b
0,0,9.31677,0.621118,0,0.621118,0,1.863354,26.086956,11.180124,9.937888,1.242236,0,34.161491,80.124222,15.52795,0.621118,3.726708,0,19.25466,b
0,0,8.360128,0.643087,0,0.643087,0,1.607717,27.974277,14.14791,17.684887,0.643087,0,27.974277,100,11.897106,1.607717,4.823151,0,18.649517,b
5.997931,0.051706,53.360909,2.326784,0,1.861427,0.155119,5.842813,60.392971,21.664944,27.404345,1.706308,0,23.526371,75.180969,9.462255,1.344364,4.239917,0.672182,14.943123,b
0,0,21.810406,1.853172,0,2.280827,0,3.278688,46.614395,17.46258,23.164648,0.356379,0,20.313614,88.025658,10.548824,0.071276,3.563792,0,13.898788,b
12.451362,5.447471,96.887161,28.404669,0,13.618676,2.33463,21.789883,82.490273,28.793774,12.451362,4.280156,2.33463,40.466927,87.937744,11.284046,3.501945,8.171206,4.669261,20.622568,b
7.23982,3.665159,94.524887,10.542987,0,6.787331,0.452489,9.004525,51.402718,32.986427,12.850679,5.520362,0.588235,34.434391,70.904976,11.945702,1.447964,7.194571,1.312217,14.117648,b
10.347615,2.748585,100,14.874697,26.111561,0.970089,0,1.535974,55.052547,26.677444,20.452707,4.931285,0.080841,10.751819,13.419564,0,1.455133,7.518189,0.404204,14.632174,b
11.493429,2.18638,70.334534,2.210275,23.11828,0.752688,0.274791,1.194743,55.734764,22.174433,25.149342,3.823178,0.238949,6.642772,7.789725,0,2.353644,6.523298,0.704898,9.784946,b
0,0.4375,11.8125,4.875,0,1.6875,0.0625,7.6875,0,20.0625,10.0625,2.6875,0,10.75,100,5.0625,2.0625,5.4375,0.1875,8.0625,b
0,0.4375,11.8125,4.875,0,1.6875,0.0625,7.6875,0,20.0625,10.0625,2.6875,0,10.75,100,5.0625,2.0625,5.4375,0.1875,8.0625,b
0.094073,0.131703,21.298214,2.765757,0,2.972719,0.037629,5.418627,12.850423,19.548447,15.559736,3.913452,0,24.496708,60.432739,9.049859,0.357479,5.888993,0.056444,9.708372,b
0,0,14.63564,1.653399,32.180038,3.475199,0,1.760563,20.621555,16.809553,22.718924,2.541335,0,7.562768,5.312309,0,0.336803,8.343539,0.091855,11.5891,b
0.856494,8.092991,100,6.747072,0,16.535572,0.209754,19.454639,0.017479,9.666142,0.279671,9.578745,0.244712,11.081979,32.476841,0.192274,3.670687,6.799511,1.223562,4.002797,b
0,0.11236,7.865169,0.786517,0,0.337079,0,0.337079,49.887638,9.662921,19.101124,1.685393,0,21.797752,48.202248,9.325843,0.224719,4.606742,0,10.786517,b
0.053036,0.119332,20.445505,3.937947,0,3.765579,0.039777,6.377619,23.733757,21.877485,23.442059,3.46062,0,25.894987,99.96022,11.469107,0.835322,9.069213,0.066295,10.156457,b
0.160256,0,17.307693,4.647436,0,2.403846,0.160256,8.92094,8.547009,24.412394,13.247864,3.632479,0,31.891027,64.850426,12.873931,0.747863,5.929487,0.053419,13.782051,b
20.553988,6.439661,100,10.127028,0.1235,0,0.247001,0,0.141143,9.844743,0.405787,5.733945,0.317572,2.734651,9.333097,0,2.081863,5.134086,0.599859,13.249824,b
4.819277,1.606426,43.373497,4.819277,26.506025,0,0,0.401606,100,12.851405,21.686749,5.62249,0.401606,7.630522,8.433735,0,9.236947,8.835341,0.803213,24.497992,b
0,0.435822,9.644313,1.293406,0,1.588641,0,4.611275,4.091101,12.217067,26.641359,1.25123,0,21.678616,53.760719,10.375369,0.885702,6.073387,0,7.802615,b
4.066543,1.2939,46.765251,3.142329,0,1.478743,0.554529,10.536044,83.733826,13.863216,7.208873,1.2939,0.369686,27.356747,56.93161,13.123844,3.881701,4.066543,0.739372,12.939002,b
100,3.520628,32.952374,4.203524,0,9.663152,6.521124,7.296016,18.593872,8.33982,5.250867,3.655085,21.307764,12.037364,40.223621,3.803694,2.080532,3.025264,4.783809,6.245135,b
0,0,12.041884,0.52356,0,0.52356,0,1.57068,25.654449,10.471204,10.994764,2.094241,0,34.031414,68.062828,15.183247,2.617801,3.664922,0,19.895288,b
3.900709,2.758077,57.683216,2.48227,28.841608,0.551615,0.078802,1.77305,49.408985,19.227739,22.025217,5.240347,0.118203,8.077226,8.471237,0,2.679275,5.988968,1.06383,14.814815,b
33.802814,4.577465,100,1.056338,16.197184,0,0.352113,1.408451,67.957748,20.774647,11.619719,3.87324,0.704225,8.098592,7.042254,0,2.816901,7.746479,1.408451,17.253521,b
0,0,4.366812,0.218341,0,0.218341,0,0.655022,22.270742,5.240175,2.183406,0.436681,0,13.537118,40.174671,6.331877,1.091703,1.091703,0,7.423581,b
10.090168,1.93216,26.119938,2.719336,19.135538,0.37212,0.987548,0.68699,19.350222,14.126234,19.049664,5.037928,0.858738,5.352798,5.567482,0,1.917847,6.669529,2.232718,14.269358,b
2.591793,0.863931,100,14.470842,12.958963,3.239741,0.215983,1.295896,49.460045,9.071274,13.390928,4.75162,0,10.583154,14.038877,0,0.431965,6.695464,0.863931,11.663067,b
2.37069,0.646552,100,14.655172,12.931034,3.232759,0.215517,1.293103,49.353447,9.051723,13.362069,4.525862,0,10.775862,14.224137,0,0.431034,6.681035,0.862069,11.637931,b
0.003961,0,12.853521,2.309277,28.234175,0.336687,0,0.950646,44.434761,10.338271,16.87792,1.730967,0,5.050305,3.525311,0,0.202012,9.680741,0.035649,7.640814,b
27.746948,1.165372,90.56604,20.477247,45.893452,0,0.332963,0.055494,39.733631,32.907879,44.617092,3.884573,0.110988,22.031076,31.409544,0,2.774695,18.923418,0.610433,27.524971,b
0,0.4375,11.8125,4.875,0,1.6875,0.0625,7.6875,0,20.0625,10.0625,2.6875,0,10.75,100,5.0625,2.0625,5.4375,0.1875,8.0625,b
0.090909,0.136364,14.772727,4,0,2.636364,0.090909,7.727273,6.318182,18.727272,15.545455,4.727273,0,28.181818,57.681816,10.272727,0.954545,12.181818,0.045455,11.363637,b
9.495972,8.452053,100,6.966005,0,8.199057,2.078012,15.032423,0.734427,12.966692,0.491256,13.794458,2.245038,10.476027,24.474358,0.88426,4.733248,8.928572,6.432993,10.446551,b
